Symbol,2 Year CAGR,5 Year CAGR,10 Year CAGR,Average CAGR 2 & 5,Average CAGR All,Name,Sector
MSI,24.652771534091134,20.26784052613135,15.899976799830128,22.46030603011124,20.273529620017538,Motorola Solutions Inc.,Information Technology
SCHW,32.74724891167684,10.305952985738486,17.645370515294047,21.526600948707664,20.232857470903124,Charles Schwab Corporation,Financials
LOW,19.032667344576847,18.581383233161432,21.327903840697516,18.80702528886914,19.6473181394786,Lowe's Cos.,Consumer Discretionary
PGR,19.53286039916977,21.205453717273315,17.71245369466101,20.369157058221543,19.483589270368032,Progressive Corp.,Financials
PKI,20.8484956779035,18.4003498937821,18.62158595701311,19.6244227858428,19.29014384289957,PerkinElmer,Health Care
CNC,13.243767180376963,18.52929285115774,25.120547169385254,15.886530015767352,18.964535733639988,Centene Corporation,Health Care
MLM,30.624790767486875,7.900341474068218,17.12363016785108,19.262566120777546,18.54958746980206,Martin Marietta Materials,Materials
RSG,23.0749251585741,15.269744082733006,17.25075903734492,19.17233462065355,18.53180942621734,Republic Services Inc,Industrials
ORLY,17.144346545025968,18.78837359351211,19.577877855159432,17.966360069269037,18.503532664565835,O'Reilly Automotive,Consumer Discretionary
AVY,21.918047745626158,14.316491576103306,18.90835437864098,18.117269660864732,18.380964566790148,Avery Dennison Corp,Materials
TXN,19.586762727207784,15.534687148817582,19.548003543002412,17.560724938012683,18.223151139675924,Texas Instruments,Information Technology
INTU,12.552610015881527,21.198110801504978,20.65963374418638,16.875360408693254,18.13678485385763,Intuit Inc.,Information Technology
RMD,10.863697952470307,22.690190710764725,20.360432376325967,16.776944331617514,17.971440346520332,ResMed,Health Care
ADBE,1.6025230292416648,22.982177095475897,29.09247425397423,12.292350062358782,17.89239145956393,Adobe Systems Inc,Information Technology
WM,20.30406441883361,16.20592519238626,16.89199361227991,18.254994805609936,17.800661074499928,Waste Management Inc.,Industrials
EW,12.212606674498772,19.716107259653537,20.821709302696934,15.964356967076155,17.58347441228308,Edwards Lifesciences,Health Care
SHW,14.153708959451649,18.457876143475225,19.561616651515944,16.305792551463437,17.391067251480937,Sherwin-Williams,Materials
